Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor A1,Reactor,150.5,5.2,85.3
Heat Exchanger B2,Heat Exchanger,200.3,3.8,120.5
Pump C3,Pump,180.0,7.5,45.2
Compressor D4,Compressor,220.5,10.2,65.8
Distillation Column E5,Distillation Column,175.8,4.5,95.4
Reactor F6,Reactor,165.2,5.8,88.7
Heat Exchanger G7,Heat Exchanger,195.4,3.5,115.3
Pump H8,Pump,170.5,7.2,42.8
Compressor I9,Compressor,210.3,9.8,62.5
Distillation Column J10,Distillation Column,185.6,4.8,98.2
Reactor K11,Reactor,155.8,5.5,82.9
Heat Exchanger L12,Heat Exchanger,205.7,4.0,125.8
Pump M13,Pump,175.2,7.8,48.5
Compressor N14,Compressor,215.9,10.5,68.3
Distillation Column O15,Distillation Column,180.4,4.2,92.7
Reactor P16,Reactor,160.3,5.3,86.5
Heat Exchanger Q17,Heat Exchanger,198.5,3.7,118.9
Pump R18,Pump,172.8,7.4,44.1
Compressor S19,Compressor,225.2,10.8,70.2
Distillation Column T20,Distillation Column,178.9,4.6,96.8
